"","Provider.ID","CAC_3_Score","IMM_2_Score","IMM_3_OP_27_FAC_ADHPCT_Score","OP_22_Score","OP_23_Score","OP_29_Score","OP_30_Score","OP_4_Score","PC_01_Score","STK_4_Score","STK_5_Score","STK_6_Score","STK_8_Score","VTE_1_Score","VTE_2_Score","VTE_3_Score","VTE_5_Score","VTE_6_Score"
"1",10001,"Not Available","97","81","4","Not Available","Not Available","82","Not Available","0","67","98","99","87","97","99","91","90","0"
"44",10005,"Not Available","99","83","2","86","92","92","99","1","Not Available","99","88","100","95","94","100","100","Not Available"
"87",10006,"Not Available","100","87","1","Not Available","70","88","Not Available","0","Not Available","99","97","90","98","89","86","92","0"
"130",10007,"Not Available","99","53","1","Not Available","0","0","89","Not Available","Not Available","100","71","Not Available","97","99","Not Available","Not Available","Not Available"
"173",10008,"Not Available","95","43","1","Not Available","96","97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99","Not Available","Not Available","Not Available","Not Available"
"216",10011,"Not Available","83","53","3","0","77","41","Not Available","0","0","Not Available","90","43","60","69","65","100","21"
"259",10012,"Not Available","100","90","2","76","100","100","100","13","Not Available","Not Available","95","100","99","98","95","100","Not Available"
"302",10016,"Not Available","98","76","2","Not Available","88","100","Not Available","2","Not Available","99","98","98","98","99","100","97","0"
"345",10018,"Not Available","39","65","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","Not Available","Not Available","Not Available"
"388",10019,"Not Available","98","82","1","Not Available","72","100","99","8","Not Available","88","88","78","95","94","100","100","Not Available"
"431",10021,"Not Available","100","96","2","Not Available","83","90","100","Not Available","Not Available","Not Available","Not Available","Not Available","100","100","Not Available","Not Available","Not Available"
"474",10022,"Not Available","99","76","1","Not Available","Not Available","86","94","Not Available","Not Available","Not Available","Not Available","Not Available","96","Not Available","Not Available","Not Available","Not Available"
"517",10023,"Not Available","97","70","2","Not Available","50","41","Not Available","3","78","99","99","97","97","98","89","97","0"
"560",10024,"Not Available","99","54","5","Not Available","100","100","Not Available","1","Not Available","100","100","99","98","98","82","96","5"
"603",10029,"Not Available","91","97","3","Not Available","58","92","90","0","Not Available","Not Available","97","93","88","97","98","81","9"
"646",10032,"Not Available","99","81","1","Not Available","94","100","96","Not Available","Not Available","Not Available","Not Available","Not Available","96","Not Available","Not Available","Not Available","Not Available"
"689",10033,"Not Available","98","72","4","Not Available","75","93","Not Available","0","100","100","100","99","90","95","94","81","1"
"732",10034,"Not Available","85","81","5","Not Available","100","100","100","Not Available","Not Available","100","88","Not Available","83","78","Not Available","Not Available","Not Available"
"775",10035,"Not Available","99","91","1","75","60","78","99","9","Not Available","100","99","98","100","99","100","100","Not Available"
"818",10036,"Not Available","100","81","1","Not Available","100","95","100","0","Not Available","Not Available","100","100","100","99","94","100","Not Available"
"861",10038,"Not Available","100","65","1","Not Available","88","88","Not Available","Not Available","Not Available","Not Available","95","96","99","99","92","78","Not Available"
"904",10039,"95","97","88","1","Not Available","89","87","Not Available","1","95","99","99","100","84","91","96","95","2"
"947",10040,"Not Available","99","63","4","Not Available","60","40","Not Available","4","82","Not Available","93","98","98","97","85","94","4"
"990",10044,"Not Available","99","81","1","Not Available","Not Available","Not Available","97","Not Available","Not Available","100","100","Not Available","99","Not Available","Not Available","Not Available","Not Available"
"1033",10045,"Not Available","100","74","1","Not Available","100","100","94","Not Available","Not Available","Not Available","Not Available","Not Available","99","100","Not Available","Not Available","Not Available"
"1076",10046,"Not Available","100","84","1","Not Available","100","100","Not Available","Not Available","Not Available","96","76","92","90","96","82","87","Not Available"
"1119",10047,"Not Available","98","34","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98","Not Available","Not Available","Not Available","Not Available"
"1162",10049,"Not Available","98","59","2","94","87","99","100","0","Not Available","Not Available","100","100","100","100","Not Available","Not Available","Not Available"
"1205",10051,"Not Available","42","74","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96","Not Available","Not Available","Not Available","Not Available"
"1248",10052,"Not Available","53","57","0","Not Available","70","32","79","Not Available","Not Available","Not Available","Not Available","Not Available","54","Not Available","Not Available","Not Available","Not Available"
"1291",10055,"Not Available","100","76","2","Not Available","100","100","Not Available","0","Not Available","Not Available","100","100","100","100","100","100","0"
"1334",10056,"Not Available","96","49","0","Not Available","91","32","Not Available","2","Not Available","100","100","100","88","95","95","66","2"
"1377",10058,"Not Available","82","54","2","Not Available","84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","80","Not Available","Not Available","Not Available","Not Available"
"1420",10059,"Not Available","93","96","1","Not Available","Not Available","95","91","Not Available","Not Available","Not Available","Not Available","Not Available","88","100","Not Available","Not Available","Not Available"
"1463",10061,"Not Available","99","71","2","55","17","60","90","10","Not Available","100","80","100","97","90","78","100","Not Available"
"1506",10062,"Not Available","53","22","2","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","17","Not Available","Not Available","Not Available","Not Available"
"1549",10065,"Not Available","98","74","1","Not Available","99","99","89","1","Not Available","100","92","91","97","99","92","Not Available","Not Available"
"1592",10069,"Not Available","99","46","1","Not Available","100","12","100","Not Available","Not Available","Not Available","100","Not Available","99","99","Not Available","Not Available","Not Available"
"1635",10073,"Not Available","96","74","2","Not Available","14","25","82","Not Available","Not Available","Not Available","Not Available","Not Available","97","96","Not Available","Not Available","Not Available"
"1678",10078,"Not Available","79","89","2","60","53","70","92","0","71","94","90","100","93","97","83","79","4"
"1721",10079,"Not Available","99","92","2","Not Available","14","84","99","0","Not Available","100","100","83","97","98","100","100","Not Available"
"1764",10083,"Not Available","100","93","2","100","Not Available","Not Available","Not Available","0","Not Available","Not Available","98","100","100","100","100","100","Not Available"
"1807",10085,"Not Available","94","87","3","40","Not Available","Not Available","96","4","13","92","92","89","88","99","80","83","0"
"1850",10086,"Not Available","94","76","1","Not Available","97","92","100","Not Available","Not Available","Not Available","82","Not Available","97","98","Not Available","Not Available","Not Available"
"1893",10087,"Not Available","99","94","14","Not Available","98","94","Not Available","Not Available","100","100","99","100","99","99","85","97","0"
"1936",10089,"Not Available","100","80","2","Not Available","64","94","99","0","Not Available","100","100","100","100","100","100","Not Available","Not Available"
"1979",10090,"Not Available","98","94","1","Not Available","74","99","Not Available","0","69","99","99","100","100","99","92","100","0"
"2022",10091,"Not Available","99","55","1","64","9","76","81","15","Not Available","Not Available","Not Available","Not Available","95","Not Available","Not Available","Not Available","Not Available"
"2065",10092,"Not Available","97","67","3","Not Available","97","100","Not Available","0","50","99","94","97","99","99","84","98","0"
"2108",10095,"Not Available","53","79","2","Not Available","Not Available","Not Available","65","Not Available","Not Available","Not Available","Not Available","Not Available","81","Not Available","Not Available","Not Available","Not Available"
"2151",10097,"Not Available","96","51","3","Not Available","57","Not Available","94","Not Available","Not Available","Not Available","Not Available","Not Available","81","Not Available","Not Available","Not Available","Not Available"
"2194",10099,"Not Available","98","94","2","Not Available","98","83","96","2","Not Available","94","60","77","69","75","87","Not Available","Not Available"
"2237",10100,"Not Available","100","66","3","64","33","95","Not Available","2","Not Available","99","93","100","97","98","80","90","0"
"2280",10101,"Not Available","96","46","0","Not Available","56","97","100","0","Not Available","100","94","100","100","100","Not Available","Not Available","Not Available"
"2323",10102,"Not Available","0","19","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","19","Not Available","Not Available","Not Available","Not Available"
"2366",10103,"Not Available","99","73","3","Not Available","78","100","Not Available","0","100","100","100","99","100","99","100","94","0"
"2409",10104,"Not Available","100","79","2","Not Available","100","100","Not Available","0","Not Available","Not Available","100","100","100","100","100","100","0"
"2452",10108,"Not Available","88","83","2","Not Available","83","100","100","Not Available","Not Available","100","97","100","97","96","Not Available","Not Available","Not Available"
"2495",10109,"Not Available","99","97","1","Not Available","21","11","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","10","Not Available","Not Available","Not Available","Not Available"
"2538",10110,"Not Available","80","48","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","89","Not Available","Not Available","Not Available","Not Available"
"2581",10112,"Not Available","96","38","1","11","Not Available","Not Available","88","Not Available","Not Available","Not Available","Not Available","Not Available","40","57","Not Available","Not Available","Not Available"
"2624",10113,"Not Available","99","54","6","Not Available","92","73","Not Available","0","95","96","100","100","91","95","81","90","1"
"2667",10114,"Not Available","98","52","2","Not Available","85","90","97","1","Not Available","Not Available","93","91","97","100","94","92","0"
"2710",10118,"Not Available","99","94","3","Not Available","66","89","92","0","Not Available","Not Available","94","98","86","95","97","92","Not Available"
"2753",10120,"Not Available","96","90","2","77","100","57","96","0","Not Available","100","82","Not Available","100","99","Not Available","Not Available","Not Available"
"2796",10125,"Not Available","99","78","0","Not Available","Not Available","Not Available","96","Not Available","Not Available","Not Available","86","79","100","100","Not Available","Not Available","Not Available"
"2839",10126,"Not Available","99","81","1","Not Available","39","Not Available","95","Not Available","Not Available","100","100","Not Available","99","100","Not Available","Not Available","Not Available"
"2882",10128,"Not Available","100","40","3","Not Available","98","Not Available","100","Not Available","Not Available","Not Available","Not Available","Not Available","100","Not Available","Not Available","Not Available","Not Available"
"2925",10129,"Not Available","100","84","3","Not Available","77","92","92","3","Not Available","100","100","100","100","96","Not Available","Not Available","Not Available"
"2968",10130,"Not Available","94","52","Not Available","Not Available","Not Available","Not Available","97","Not Available","Not Available","100","74","93","69","79","53","93","Not Available"
"3011",10131,"Not Available","97","75","3","33","100","100","Not Available","0","Not Available","Not Available","99","100","98","99","90","100","0"
"3054",10138,"Not Available","51","18","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","48","Not Available","Not Available","Not Available","Not Available"
"3097",10139,"Not Available","98","84","1","Not Available","100","96","Not Available","0","Not Available","Not Available","99","95","98","100","97","88","0"
"3140",10144,"Not Available","93","98","3","Not Available","95","73","Not Available","0","Not Available","99","95","94","90","93","95","95","0"
"3183",10146,"Not Available","97","92","2","Not Available","82","31","100","Not Available","Not Available","Not Available","Not Available","Not Available","94","Not Available","Not Available","Not Available","Not Available"
"3226",10148,"Not Available","54","46","1","Not Available","85","70","100","Not Available","Not Available","95","55","95","93","Not Available","Not Available","Not Available","Not Available"
"3269",10149,"Not Available","95","77","2","74","65","43","100","2","Not Available","98","97","91","98","100","95","100","Not Available"
