"","Provider.ID","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean"
"1",10001,"84","90","92","80","86","77","87","82","89","88","90"
"2",10005,"83","91","94","84","88","80","88","81","90","86","89"
"3",10006,"83","91","94","83","87","78","83","80","85","86","84"
"4",10007,"89","91","96","87","89","82","86","82","87","92","86"
"5",10008,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"6",10011,"81","90","92","82","86","74","86","81","88","84","87"
"7",10012,"86","92","94","85","88","77","88","79","89","86","85"
"8",10016,"79","89","92","80","87","78","86","81","89","85","88"
"9",10018,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"10",10019,"83","90","93","82","86","79","85","80","89","88","90"
"11",10021,"89","93","95","88","91","76","87","82","92","91","90"
"12",10022,"87","93","96","87","87","81","92","83","89","91","89"
"13",10023,"82","89","92","81","85","75","85","80","87","86","87"
"14",10024,"85","91","93","87","88","80","85","80","90","88","90"
"15",10029,"86","92","95","85","88","82","88","83","91","90","91"
"16",10032,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"17",10033,"87","94","94","86","89","81","87","84","93","88","94"
"18",10034,"91","93","95","88","90","82","85","84","88","87","88"
"19",10035,"88","92","93","86","88","81","87","81","90","89","88"
"20",10036,"83","88","93","83","84","80","86","80","88","86","85"
"21",10038,"87","87","91","78","85","70","85","80","88","88","88"
"22",10039,"87","92","92","86","87","81","88","81","90","87","91"
"23",10040,"83","90","91","82","86","73","84","80","87","84","87"
"24",10044,"97","98","98","96","94","91","88","85","94","94","96"
"25",10045,"96","97","98","92","94","88","95","87","94","93","93"
"26",10046,"82","87","90","81","84","72","83","78","87","87","86"
"27",10047,"90","93","94","90","88","68","75","77","93","93","86"
"28",10049,"86","90","93","83","87","77","88","81","89","87","87"
"29",10051,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"30",10052,"89","92","95","88","87","72","86","81","88","91","86"
"31",10055,"88","93","94","86","90","82","90","83","92","85","92"
"32",10056,"83","92","94","85","88","80","88","83","91","87","92"
"33",10058,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"34",10059,"89","90","97","90","89","74","78","80","88","87","84"
"35",10061,"85","92","92","85","86","77","86","80","89","89","84"
"36",10062,"87","93","97","88","89","79","84","81","89","85","89"
"37",10065,"87","92","93","87","89","79","87","80","90","89","89"
"38",10069,"90","91","94","85","85","80","86","78","89","88","87"
"39",10073,"85","91","98","89","91","83","82","83","88","90","87"
"40",10078,"83","91","92","83","88","78","85","80","88","86","87"
"41",10079,"88","91","93","81","87","78","90","80","88","88","86"
"42",10083,"89","94","93","89","90","81","89","83","91","90","90"
"43",10085,"85","91","93","83","88","78","87","80","86","85","85"
"44",10086,"89","93","96","91","91","85","89","81","92","92","90"
"45",10087,"88","93","94","87","89","80","88","82","91","88","92"
"46",10089,"84","90","91","85","86","79","85","81","88","84","84"
"47",10090,"83","90","92","85","87","76","85","81","89","84","89"
"48",10091,"88","90","97","86","83","79","84","77","89","86","86"
"49",10092,"82","91","92","83","88","78","84","81","87","84","88"
"50",10095,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"51",10097,"87","91","97","92","86","83","84","83","91","89","88"
"52",10099,"86","91","92","85","88","74","82","79","89","88","86"
"53",10100,"86","93","93","87","89","82","89","82","91","89","92"
"54",10101,"85","90","92","82","86","79","84","80","87","86","84"
"55",10102,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"56",10103,"82","92","94","85","89","83","88","82","91","87","90"
"57",10104,"87","93","94","85","89","81","87","83","91","89","91"
"58",10108,"88","93","94","87","89","78","91","82","91","88","89"
"59",10109,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"60",10110,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"61",10112,"86","91","92","82","87","79","74","79","86","91","82"
"62",10113,"87","92","93","86","89","83","87","82","90","85","89"
"63",10114,"84","89","94","81","87","75","84","79","87","86","85"
"64",10118,"84","86","92","74","83","73","82","78","85","86","79"
"65",10120,"88","95","97","90","92","77","86","81","93","88","90"
"66",10125,"91","93","95","88","89","75","86","82","91","93","87"
