"","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8"
"1",10001,"6.4","0.9","7.1","2.4","38.1"
"7",10005,"13.3","10.2","5.3","4.0","42.8"
"13",10006,"11.8","4.6","0.0","4.6","45.6"
"19",10007,"24.3","6.1",NA,NA,NA
"25",10008,"3.6",NA,NA,"0.6",NA
"31",10011,"2.4","10.4",NA,"3.4","36.2"
"37",10012,"6.1","10.8","3.1",NA,NA
"43",10016,"31.4","1.5","4.7","3.6","37.8"
"49",10018,NA,NA,NA,NA,NA
"55",10019,"21.0","0.8",NA,"4.4","38.4"
"61",10021,"4.2","1.3","1.5",NA,"52.9"
"67",10022,"7.1","5.7",NA,NA,NA
"73",10023,"2.6","0.3",NA,"3.7","45.9"
"79",10024,"9.1","0.2",NA,"2.1","45.7"
"85",10029,"11.6","1.1","6.0","2.7","46.7"
"91",10032,"1.4",NA,NA,NA,NA
"97",10033,"23.6","0.0","11.8","2.8","40.3"
"103",10034,"14.3","3.3",NA,NA,NA
"109",10035,"8.8","9.5","0.8","4.3","45.6"
"115",10036,"8.0","12.2",NA,NA,"36.8"
"121",10038,"4.5","7.2","12.1",NA,"52.8"
"127",10039,"16.5","0.0","4.9","4.7","39.5"
"133",10040,"12.5","5.9",NA,"5.8","38.3"
"139",10044,"3.5","2.3",NA,NA,NA
"145",10045,"1.6","0.4",NA,"4.1","49.0"
"151",10046,"2.1","3.5",NA,"6.9",NA
"157",10047,"2.2",NA,NA,NA,NA
"163",10049,"4.2","0.3","9.3","6.1","50.0"
"169",10051,NA,NA,NA,NA,NA
"175",10052,NA,NA,NA,NA,NA
"181",10055,"6.2","1.0","5.4","4.1","43.0"
"187",10056,"5.3","0.2","6.7","3.8","47.7"
"193",10058,"6.5","0.0",NA,NA,NA
"199",10059,"8.6","1.1",NA,"6.5",NA
"205",10061,"4.5","0.0",NA,"3.9","43.9"
"211",10062,"33.3","0.0",NA,NA,NA
"217",10065,"6.2","1.5",NA,"1.2","49.1"
"223",10069,"4.5","6.1","5.0",NA,NA
"229",10073,"1.6","1.6","4.5",NA,NA
"235",10078,"8.9","1.9","4.5","3.3","39.0"
"241",10079,"26.6","0.8","8.5","4.8","31.3"
"247",10083,"21.2","14.2","5.6","4.2","32.0"
"253",10085,"13.6","9.8","4.2","1.8","41.2"
"259",10086,"5.4","2.9","4.3",NA,"53.6"
"265",10087,"22.8","15.5",NA,"6.6",NA
"271",10089,"5.1","8.4",NA,"3.0","56.4"
"277",10090,"41.0","7.0",NA,"4.2","47.3"
"283",10091,"30.8","24.0",NA,NA,NA
"289",10092,"2.1","0.2","3.4","3.0","47.2"
"295",10095,"0.0",NA,NA,"0.6",NA
"301",10097,"12.0",NA,NA,NA,NA
"307",10099,"33.7","1.6","3.3","0.8","59.7"
"313",10100,"15.5","3.9",NA,"4.1","38.7"
"319",10101,"12.4","6.7","3.4",NA,NA
"325",10102,"7.2",NA,NA,NA,NA
"331",10103,"12.8","6.4",NA,"3.0","42.2"
"337",10104,"13.4","0.5","4.9","4.4","43.8"
"343",10108,"8.0","0.6",NA,NA,"52.6"
"349",10109,"3.8","1.0",NA,NA,NA
"355",10110,"1.7","0.0",NA,NA,NA
"361",10112,"11.8","8.5",NA,NA,"41.9"
"367",10113,"64.6","0.5",NA,"3.0","39.3"
"373",10114,"8.9","0.0","9.1",NA,"35.7"
"379",10118,"4.5","1.7","4.0","2.1","37.1"
"385",10120,"8.9","1.4","5.3","2.1","50.0"
"391",10125,"6.4",NA,"4.7",NA,"36.7"
"397",10126,"17.4","2.1","6.3",NA,NA
"403",10128,"29.6",NA,NA,NA,NA
"409",10129,"32.3","11.8",NA,NA,NA
"415",10130,"17.6","24.1",NA,"4.3",NA
"421",10131,"6.0","0.4","4.0","7.7","41.9"
"427",10138,NA,NA,NA,NA,NA
"433",10139,"11.7","0.0","3.6","1.8","52.8"
"439",10144,"36.0","0.0","4.8","2.1",NA
"445",10146,"28.2","0.0",NA,"9.5",NA
"451",10148,"4.7","7.7",NA,"6.1","39.7"
"457",10149,"5.8","0.3",NA,"4.2","43.0"
"463",10150,"6.1","3.4","3.5",NA,NA
"469",10157,"24.4","5.2",NA,NA,"40.7"
"475",10158,"17.2","19.7",NA,NA,"47.8"
"481",10164,"2.2","1.8","6.9","3.8","45.8"
"487",10168,"2.2","0.0",NA,NA,NA
"493",10169,"20.9",NA,"9.7",NA,NA
"499",11300,"3.7","4.0",NA,NA,NA
"505",11302,"9.2",NA,NA,NA,NA
"511",11304,"5.5","1.7",NA,NA,NA
"517",11305,"7.8","6.0",NA,NA,NA
"523",13300,NA,NA,NA,NA,NA
"529",13301,NA,NA,NA,NA,NA
"535",20001,"4.9","0.7","1.9","1.5","50.0"
"541",20006,"6.9","1.2",NA,"1.8",NA
"547",20008,"3.0","0.0",NA,NA,NA
"553",20012,"4.2","0.3","5.4","1.3","61.8"
"559",20017,"7.5","1.5",NA,NA,NA
"565",20018,NA,NA,NA,NA,NA
"571",20024,"7.8","0.0","5.5",NA,"32.9"
"577",20026,NA,NA,NA,NA,NA
"583",21301,NA,NA,NA,NA,NA
"589",21302,NA,NA,NA,NA,NA
"595",21303,NA,NA,NA,NA,NA
"601",21304,NA,NA,NA,NA,NA
"607",21305,NA,NA,NA,NA,NA
"613",21306,NA,NA,NA,NA,NA
"619",21307,NA,NA,NA,NA,NA
"625",21308,NA,NA,NA,NA,NA
"631",21309,NA,NA,NA,NA,NA
"637",21310,NA,NA,NA,NA,NA
"643",21311,"6.6","0.0",NA,NA,NA
"649",21312,NA,NA,NA,NA,NA
"655",21313,"5.7","0.0",NA,NA,NA
"661",30001,"1.1",NA,NA,NA,NA
"667",30002,"14.6","0.0","1.4",NA,NA
"673",30006,"1.8","2.9","3.0","5.9",NA
"679",30007,"3.0","0.0","3.2","3.1","31.5"
"685",30010,"5.5","3.8","3.7","4.7",NA
"691",30011,"1.7","2.6","3.8","4.8",NA
"697",30012,"10.5","18.8","3.6","2.3",NA
"703",30013,"52.3","6.8","5.2","2.9","40.7"
"709",30014,"6.6","1.7","9.0","6.9","48.7"
"715",30016,"25.8","2.0","7.0","2.7",NA
"721",30022,"4.4","1.6",NA,NA,NA
"727",30023,"1.1","0.5","1.0","4.1","39.0"
"733",30024,"2.8","0.0","9.2","1.8","33.3"
"739",30030,"2.7",NA,"6.3",NA,NA
"745",30033,"10.1","5.1","2.0",NA,"29.0"
"751",30036,"0.8","0.0","5.2","4.1",NA
"757",30037,"1.4",NA,NA,NA,NA
"763",30038,"0.6","2.2","7.3","2.4",NA
"769",30043,"14.1","7.8","4.7","2.6","47.1"
"775",30055,"13.4","11.7","4.2","2.9","30.6"
"781",30061,"2.7","1.0","2.0","3.7",NA
"787",30062,"12.6","16.8","9.4","4.0","47.9"
"793",30064,"1.5","0.0","6.4","6.4","36.7"
"799",30065,"2.2","1.9","1.9","4.5",NA
"805",30068,"4.1","1.2","2.2",NA,NA
"811",30069,"15.2","4.8","2.9","3.1","36.6"
"817",30071,NA,NA,NA,NA,NA
"823",30073,NA,NA,NA,NA,NA
"829",30074,NA,NA,NA,NA,NA
"835",30077,NA,NA,NA,NA,NA
"841",30078,NA,NA,NA,NA,NA
"847",30083,"1.6",NA,NA,"5.7",NA
"853",30084,NA,NA,NA,NA,NA
"859",30085,"7.0","7.3","3.9","0.9",NA
"865",30087,"0.3","2.1","4.7","2.2",NA
"871",30088,"3.0","0.9","5.0","2.8",NA
"877",30089,"1.7","0.5","7.9","3.0",NA
"883",30092,"4.7","1.3","6.9","5.2",NA
"889",30093,"5.7","8.3","7.4","2.0","46.3"
"895",30094,"3.1","4.1",NA,NA,NA
"901",30101,"13.3","10.5",NA,"4.9",NA
"907",30103,"6.4","0.5","8.2","2.3","39.0"
"913",30105,NA,NA,NA,NA,NA
"919",30107,NA,NA,NA,NA,NA
"925",30108,NA,NA,NA,NA,NA
"931",30110,"1.5","1.4",NA,"4.4",NA
"937",30111,"1.5","0.0","11.8","4.4",NA
"943",30112,NA,NA,NA,NA,NA
"949",30113,NA,NA,NA,NA,NA
"955",30114,"6.5","4.2","4.5","1.2",NA
"961",30115,"1.8","1.8",NA,"2.6",NA
"967",30117,"21.2","18.2",NA,"2.1","41.2"
"973",30118,"17.0","12.2","4.5","1.6","41.1"
"979",30119,"0.9","0.0","5.9","2.9",NA
"985",30120,"0.0",NA,NA,NA,NA
"991",30121,"4.1","1.4",NA,"5.5",NA
"997",30122,"2.2","0.4",NA,"5.3",NA
"1003",30123,"0.2","0.0","4.4","3.8",NA
"1009",30130,"2.9","0.8",NA,NA,NA
"1015",30131,NA,NA,NA,NA,NA
"1021",30132,"6.6",NA,NA,NA,NA
