"","Provider.ID","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_Score"
"1",10001,32,201,252,31,62,61,2068
"2",10005,67,NA,235,62,125,62,2141
"3",10006,74,200,230,63,89,86,2180
"4",10007,NA,NA,252,51,95,73,NA
"5",10008,NA,NA,241,34,64,NA,NA
"6",10011,46,195,233,45,86,33,1931
"7",10012,75,NA,251,32,183,65,NA
"8",10016,54,194,240,47,68,65,1897
"9",10018,NA,NA,NA,NA,NA,NA,NA
"10",10019,63,NA,246,36,98,61,1269
"11",10021,NA,NA,223,29,50,72,NA
"12",10022,NA,NA,236,65,65,NA,NA
"13",10023,41,204,250,42,71,71,2102
"14",10024,55,207,254,13,94,41,2078
"15",10029,62,203,239,28,95,51,1723
"16",10032,NA,NA,241,12,65,NA,NA
"17",10033,31,110,230,12,56,96,1523
"18",10034,NA,NA,229,253,37,54,NA
"19",10035,64,NA,242,32,119,75,929
"20",10036,NA,NA,231,22,58,39,NA
"21",10038,52,NA,223,28,54,51,NA
"22",10039,38,5,242,24,94,86,2105
"23",10040,57,195,234,45,94,46,788
"24",10044,NA,NA,225,21,46,NA,NA
"25",10045,NA,NA,235,14,81,46,NA
"26",10046,66,189,237,22,84,54,1208
"27",10047,NA,NA,231,NA,53,NA,NA
"28",10049,NA,NA,23,43,104,54,NA
"29",10051,NA,NA,251,11,71,NA,NA
"30",10052,NA,NA,234,26,67,NA,NA
"31",10055,77,194,16,49,51,71,2179
"32",10056,62,212,241,34,46,48,1983
"33",10058,NA,NA,NA,NA,92,NA,NA
"34",10059,52,NA,233,29,57,48,NA
"35",10061,NA,NA,239,28,70,61,NA
"36",10062,NA,NA,242,54,73,NA,NA
"37",10065,54,NA,229,33,98,56,827
"38",10069,NA,NA,245,30,80,56,NA
"39",10073,NA,NA,242,34,84,NA,NA
"40",10078,49,188,227,42,92,56,1932
"41",10079,NA,NA,252,31,95,59,NA
"42",10083,49,NA,238,19,48,68,1393
"43",10085,52,NA,226,31,99,64,2173
"44",10086,NA,NA,230,20,59,61,NA
"45",10087,NA,NA,235,NA,NA,89,1516
"46",10089,34,NA,250,38,94,51,1122
"47",10090,74,216,228,56,70,73,2158
"48",10091,NA,NA,237,35,77,NA,NA
"49",10092,69,225,249,34,86,52,1577
"50",10095,NA,NA,NA,NA,55,NA,NA
"51",10097,NA,NA,242,16,64,NA,NA
"52",10099,64,NA,241,28,123,69,NA
"53",10100,52,193,238,36,70,59,1537
"54",10101,50,NA,236,28,125,67,NA
"55",10102,NA,NA,NA,NA,77,NA,NA
"56",10103,89,210,244,43,104,90,1580
"57",10104,59,193,20,28,103,93,2138
"58",10108,46,NA,225,258,99,62,NA
"59",10109,NA,NA,236,33,119,NA,NA
"60",10110,NA,NA,235,24,91,NA,NA
"61",10112,NA,NA,236,33,72,NA,NA
"62",10113,62,204,244,23,79,44,1210
"63",10114,42,NA,225,10,100,38,1879
"64",10118,60,NA,246,7,65,64,844
"65",10120,NA,NA,241,23,126,59,NA
"66",10125,NA,NA,233,39,29,42,NA
"67",10126,NA,NA,237,37,99,55,NA
"68",10128,NA,NA,235,46,91,NA,NA
"69",10129,NA,NA,251,44,97,67,NA
"70",10130,43,NA,250,33,52,48,NA
"71",10131,46,NA,8,31,129,58,1291
"72",10138,NA,NA,NA,NA,NA,NA,NA
"73",10139,32,114,233,32,84,45,1606
"74",10144,56,202,230,8,80,59,1593
"75",10146,NA,NA,237,32,134,NA,NA
"76",10148,NA,NA,229,31,59,64,NA
"77",10149,38,NA,245,20,33,41,NA
"78",10150,NA,NA,235,19,67,NA,NA
"79",10157,NA,NA,251,31,87,68,NA
"80",10158,60,NA,238,19,106,71,NA
"81",10164,48,NA,246,28,82,49,NA
"82",10168,NA,NA,NA,NA,71,NA,NA
"83",10169,NA,NA,239,10,36,56,NA
"84",11300,NA,NA,NA,NA,NA,NA,NA
"85",11302,NA,NA,256,NA,80,NA,NA
"86",11304,NA,NA,NA,NA,82,NA,NA
"87",11305,NA,NA,230,23,75,NA,NA
"88",13300,NA,NA,NA,NA,NA,NA,NA
"89",13301,NA,NA,NA,NA,NA,NA,NA
"90",20001,37,189,255,46,85,49,931
"91",20006,56,NA,246,58,64,50,NA
"92",20008,NA,NA,249,34,128,53,NA
"93",20012,39,NA,246,38,105,117,NA
"94",20017,32,115,251,21,117,73,1151
"95",20018,NA,NA,233,25,40,NA,NA
"96",20024,NA,NA,248,39,89,59,NA
"97",20026,34,NA,221,46,83,69,2011
"98",21301,NA,NA,NA,NA,NA,NA,NA
"99",21302,NA,NA,NA,NA,NA,NA,NA
"100",21303,NA,NA,NA,NA,88,NA,NA
"101",21304,NA,NA,NA,NA,NA,NA,NA
"102",21305,NA,NA,NA,NA,NA,NA,NA
"103",21306,NA,NA,239,NA,95,NA,NA
"104",21307,NA,NA,NA,NA,NA,NA,NA
"105",21308,NA,NA,NA,NA,50,NA,NA
"106",21309,NA,NA,NA,NA,NA,NA,NA
"107",21310,NA,NA,NA,NA,NA,NA,NA
"108",21311,NA,NA,242,NA,47,NA,NA
"109",21312,NA,NA,236,NA,NA,NA,NA
"110",21313,NA,NA,240,NA,61,NA,NA
"111",30001,NA,NA,249,19,54,49,NA
"112",30002,53,188,236,25,63,92,1307
"113",30006,59,195,232,40,67,39,930
"114",30007,51,NA,255,28,85,50,599
"115",30010,46,188,24,35,75,50,1538
"116",30011,42,NA,27,37,85,60,2028
"117",30012,51,213,8,30,105,118,540
"118",30013,38,116,243,41,82,39,1503
"119",30014,58,114,235,33,66,87,545
"120",30016,51,NA,256,27,99,44,1564
"121",30022,NA,NA,NA,NA,57,NA,NA
"122",30023,46,196,239,12,56,63,326
"123",30024,46,215,236,253,76,35,2918
"124",30030,66,114,245,19,43,75,1351
"125",30033,34,NA,243,17,51,50,NA
"126",30036,39,188,219,258,70,38,784
"127",30037,58,115,244,40,76,NA,1797
"128",30038,58,189,13,253,56,90,1684
"129",30043,56,NA,251,27,69,52,1586
"130",30055,53,114,221,33,43,51,1958
"131",30061,47,190,237,26,66,40,348
"132",30062,49,NA,232,10,45,62,1274
"133",30064,41,108,229,12,47,75,2162
"134",30065,40,115,231,12,58,91,3020
"135",30068,NA,NA,255,31,102,NA,NA
"136",30069,68,189,223,45,61,77,1006
"137",30071,NA,NA,NA,31,42,NA,NA
"138",30073,NA,NA,NA,19,42,NA,NA
"139",30074,NA,NA,NA,NA,NA,NA,NA
"140",30077,NA,NA,NA,NA,NA,NA,NA
"141",30078,NA,NA,NA,NA,67,NA,NA
"142",30083,49,NA,246,33,89,NA,NA
"143",30084,NA,NA,NA,NA,78,NA,NA
"144",30085,65,200,249,39,75,80,653
"145",30087,32,207,244,29,57,18,2033
"146",30088,45,NA,245,16,57,37,306
"147",30089,37,189,242,28,46,63,822
"148",30092,43,193,238,19,75,40,1628
"149",30093,39,NA,15,19,79,42,607
"150",30094,44,110,244,36,78,75,1332
"151",30101,60,NA,236,36,85,60,1827
"152",30103,20,111,232,257,21,73,2818
"153",30105,31,194,251,250,82,NA,1169
"154",30107,NA,NA,NA,NA,NA,NA,NA
"155",30108,NA,NA,NA,NA,NA,NA,NA
"156",30110,41,188,241,13,65,51,1499
"157",30111,51,NA,242,22,70,54,1549
"158",30112,NA,NA,NA,NA,NA,NA,NA
"159",30113,NA,NA,NA,NA,63,NA,NA
"160",30114,41,NA,227,34,44,42,1525
"161",30115,48,192,239,253,51,56,920
