"","Provider.ID","READM_30_AMI_score","READM_30_CABG_score","READM_30_COPD_score","READM_30_HF_score","READM_30_HIP_KNEE_score","READM_30_HOSP_WIDE_score","READM_30_PN_score","READM_30_STK_score"
"1",10001,72,58,128,131,210,61,94,34
"2",10005,74,NA,87,136,216,56,71,41
"3",10006,68,59,105,123,209,61,86,27
"4",10007,NA,NA,106,128,NA,73,80,34
"5",10008,NA,NA,99,148,NA,64,67,NA
"6",10011,84,57,103,105,210,60,74,20
"7",10012,68,NA,99,151,NA,60,101,35
"8",10016,84,65,86,132,209,54,78,31
"9",10018,NA,NA,NA,NA,NA,NA,NA,NA
"10",10019,NA,NA,147,141,200,66,90,42
"11",10021,NA,NA,106,130,210,55,71,NA
"12",10022,NA,NA,99,130,NA,59,60,NA
"13",10023,88,63,102,150,206,63,93,45
"14",10024,86,47,79,97,208,58,76,37
"15",10029,75,33,99,149,218,59,65,28
"16",10032,NA,NA,93,133,NA,56,70,NA
"17",10033,87,47,106,154,216,72,93,67
"18",10034,NA,NA,118,134,NA,54,65,34
"19",10035,69,NA,105,145,205,64,73,32
"20",10036,NA,NA,105,151,197,71,79,32
"21",10038,84,NA,120,157,206,66,84,42
"22",10039,70,44,99,132,207,59,80,30
"23",10040,78,67,104,127,226,66,87,38
"24",10044,NA,NA,97,125,NA,56,59,NA
"25",10045,NA,NA,134,139,NA,66,104,19
"26",10046,86,49,130,140,207,63,82,34
"27",10047,NA,NA,117,NA,NA,65,88,NA
"28",10049,NA,NA,130,142,202,54,65,31
"29",10051,NA,NA,121,128,NA,56,75,NA
"30",10052,NA,NA,98,132,NA,53,82,NA
"31",10055,67,40,85,121,208,56,56,31
"32",10056,76,71,121,142,210,59,68,54
"33",10058,NA,NA,NA,NA,NA,61,86,NA
"34",10059,NA,NA,99,140,NA,53,58,38
"35",10061,NA,NA,99,143,205,64,68,48
"36",10062,NA,NA,95,125,NA,59,74,NA
"37",10065,67,NA,75,127,216,66,85,38
"38",10069,NA,NA,124,126,NA,59,67,30
"39",10073,NA,NA,102,127,NA,61,72,NA
"40",10078,85,64,78,119,221,58,76,28
"41",10079,NA,NA,133,146,202,67,95,39
"42",10083,72,NA,80,133,214,61,90,32
"43",10085,82,NA,125,134,202,53,87,30
"44",10086,NA,NA,134,132,NA,64,62,31
"45",10087,NA,NA,121,135,NA,71,NA,50
"46",10089,85,NA,132,145,207,63,72,34
"47",10090,86,42,123,127,206,62,122,47
"48",10091,NA,NA,102,127,NA,57,63,NA
"49",10092,94,45,105,145,214,68,97,40
"50",10095,NA,NA,NA,NA,NA,64,73,NA
"51",10097,NA,NA,118,137,NA,60,73,NA
"52",10099,NA,NA,134,126,NA,65,75,35
"53",10100,62,37,79,128,205,56,72,12
"54",10101,NA,NA,101,149,NA,66,82,33
"55",10102,NA,NA,NA,NA,NA,62,64,NA
"56",10103,84,78,118,139,204,62,57,39
"57",10104,64,51,127,121,211,60,90,39
"58",10108,NA,NA,94,141,NA,53,86,28
"59",10109,NA,NA,135,138,NA,65,70,NA
"60",10110,NA,NA,123,132,NA,74,86,NA
"61",10112,NA,NA,96,134,NA,57,101,NA
"62",10113,75,49,141,148,210,71,96,57
"63",10114,76,NA,85,137,204,57,76,27
"64",10118,93,NA,82,153,NA,59,83,57
"65",10120,NA,NA,121,121,NA,69,101,29
"66",10125,NA,NA,78,133,NA,44,40,36
"67",10126,NA,NA,129,154,207,60,65,30
"68",10128,NA,NA,91,137,NA,62,77,NA
"69",10129,NA,NA,127,141,NA,75,78,45
"70",10130,NA,NA,100,146,NA,69,120,34
"71",10131,83,NA,96,153,207,63,72,32
"72",10138,NA,NA,NA,NA,NA,66,NA,NA
"73",10139,81,62,129,124,209,64,91,50
"74",10144,91,60,117,146,207,64,90,50
"75",10146,NA,NA,120,133,NA,59,95,NA
"76",10148,NA,NA,128,135,NA,61,80,40
"77",10149,74,NA,105,138,NA,49,78,35
"78",10150,NA,NA,89,135,204,59,84,NA
"79",10157,NA,NA,128,143,200,62,96,36
"80",10158,NA,NA,120,144,213,68,125,35
"81",10164,70,NA,99,136,216,61,82,34
"82",10168,NA,NA,102,NA,201,69,72,NA
"83",10169,NA,NA,103,128,NA,56,82,37
"84",11300,NA,NA,NA,NA,NA,61,NA,NA
"85",11302,NA,NA,104,NA,NA,59,81,NA
"86",11304,NA,NA,NA,NA,NA,63,66,NA
"87",11305,NA,NA,98,138,NA,63,67,NA
"88",13300,NA,NA,NA,NA,NA,NA,NA,NA
"89",13301,NA,NA,NA,NA,NA,NA,NA,NA
"90",20001,60,38,118,102,204,40,47,7
"91",20006,85,NA,121,125,213,59,79,39
"92",20008,NA,NA,90,140,203,60,69,29
"93",20012,64,NA,124,126,199,53,63,38
"94",20017,73,50,120,119,211,50,57,24
"95",20018,NA,NA,101,125,NA,53,70,NA
"96",20024,NA,NA,117,157,212,66,71,33
"97",20026,71,NA,98,155,204,63,88,34
"98",21301,NA,NA,NA,NA,NA,60,NA,NA
"99",21302,NA,NA,NA,NA,NA,NA,NA,NA
"100",21303,NA,NA,NA,NA,NA,64,NA,NA
"101",21304,NA,NA,NA,NA,NA,NA,NA,NA
"102",21305,NA,NA,NA,NA,NA,61,NA,NA
"103",21306,NA,NA,103,NA,NA,59,69,NA
"104",21307,NA,NA,NA,NA,NA,NA,NA,NA
"105",21308,NA,NA,NA,NA,NA,58,72,NA
"106",21309,NA,NA,NA,NA,NA,61,83,NA
"107",21310,NA,NA,NA,NA,NA,NA,NA,NA
"108",21311,NA,NA,104,NA,207,60,77,NA
"109",21312,NA,NA,119,NA,NA,64,NA,NA
"110",21313,NA,NA,104,137,NA,60,74,NA
"111",30001,NA,NA,130,131,NA,67,77,32
"112",30002,77,51,99,122,203,64,77,23
"113",30006,76,65,95,130,199,55,54,32
"114",30007,71,NA,85,93,205,40,73,20
"115",30010,68,29,128,91,202,56,78,15
"116",30011,79,NA,94,132,197,47,77,38
"117",30012,71,81,104,131,200,66,75,257
"118",30013,79,42,129,120,208,68,102,29
"119",30014,74,61,121,128,205,58,58,32
"120",30016,69,NA,118,163,206,58,73,34
"121",30022,NA,NA,NA,147,NA,55,65,NA
"122",30023,73,49,93,106,195,43,48,22
"123",30024,77,62,122,125,NA,60,72,22
"124",30030,68,47,103,135,207,68,83,27
"125",30033,73,NA,121,130,211,60,85,28
"126",30036,75,38,86,103,203,52,55,29
"127",30037,77,40,120,139,202,54,64,NA
"128",30038,83,44,118,131,208,62,77,44
"129",30043,85,NA,95,145,206,63,84,41
"130",30055,77,56,120,165,206,76,135,39
"131",30061,70,46,119,133,203,51,78,35
"132",30062,67,NA,95,98,202,46,52,21
"133",30064,85,57,132,125,196,67,79,27
"134",30065,71,57,139,137,209,68,83,35
"135",30068,NA,NA,103,141,206,56,73,NA
"136",30069,78,49,123,137,212,67,62,39
"137",30071,NA,NA,NA,161,NA,67,88,NA
"138",30073,NA,NA,NA,143,207,58,71,NA
"139",30074,NA,NA,NA,NA,NA,64,NA,NA
"140",30077,NA,NA,NA,NA,NA,NA,NA,NA
"141",30078,NA,NA,NA,NA,NA,58,71,NA
"142",30083,68,NA,99,140,204,69,96,NA
"143",30084,NA,NA,NA,136,NA,67,95,NA
"144",30085,67,46,93,119,207,57,79,33
"145",30087,67,48,91,140,202,57,64,15
"146",30088,81,NA,81,136,209,50,79,28
"147",30089,67,58,117,120,210,55,76,21
"148",30092,69,44,125,156,204,63,82,32
"149",30093,65,NA,101,118,214,50,76,16
"150",30094,72,53,104,128,204,61,61,25
"151",30101,84,NA,104,161,211,72,85,31
"152",30103,54,44,83,90,194,47,57,17
"153",30105,54,37,95,91,NA,48,75,NA
"154",30107,NA,NA,NA,NA,202,53,NA,NA
"155",30108,NA,NA,NA,NA,213,61,NA,NA
"156",30110,96,65,119,132,NA,58,78,47
"157",30111,82,NA,119,123,NA,66,66,38
"158",30112,NA,NA,NA,NA,221,75,NA,NA
"159",30113,NA,NA,NA,NA,NA,63,74,NA
"160",30114,75,NA,106,127,195,61,71,30
"161",30115,72,48,95,124,210,58,72,39
"162",30117,67,NA,102,149,206,61,89,34
"163",30118,79,NA,100,130,201,51,91,26
"164",30119,72,NA,120,139,207,65,89,30
"165",30120,NA,NA,NA,NA,NA,72,79,NA
"166",30121,72,62,121,156,210,63,81,25
"167",30122,NA,NA,122,152,210,72,66,31
"168",30123,69,NA,105,127,197,52,66,32
"169",30130,NA,NA,94,125,208,55,68,NA
"170",30131,NA,NA,NA,NA,201,67,NA,NA
"171",30132,NA,NA,106,NA,NA,64,84,NA
"172",30134,NA,NA,105,NA,NA,63,82,NA
"173",30136,NA,NA,NA,NA,NA,NA,NA,NA
"174",30137,NA,NA,NA,NA,NA,NA,NA,NA
"175",31300,NA,NA,94,NA,NA,66,74,NA
"176",31301,NA,NA,106,NA,NA,71,81,NA
"177",31302,NA,NA,118,NA,NA,60,71,NA
"178",31304,NA,NA,NA,NA,NA,59,74,NA
"179",31305,NA,NA,NA,NA,NA,63,75,NA
"180",31307,NA,NA,NA,NA,NA,NA,NA,NA
"181",31308,NA,NA,NA,NA,NA,NA,NA,NA
"182",31309,NA,NA,NA,NA,NA,63,79,NA
"183",31311,NA,NA,NA,127,NA,62,71,NA
"184",31312,NA,NA,121,NA,NA,58,72,NA
"185",31313,NA,NA,NA,NA,NA,NA,NA,NA
"186",31314,NA,NA,95,129,208,62,66,NA
"187",31315,NA,NA,NA,NA,NA,60,72,NA
"188",31317,71,NA,122,123,NA,62,83,NA
"189",33301,NA,NA,NA,NA,NA,NA,NA,NA
"190",33302,NA,NA,NA,NA,NA,NA,NA,NA
"191",33303,NA,NA,NA,NA,NA,NA,NA,NA
"192",40001,NA,NA,103,156,207,67,75,35
"193",40002,NA,NA,103,165,203,60,59,29
"194",40004,75,47,125,132,197,54,55,45
"195",40007,71,47,101,164,205,70,68,20
"196",40010,75,35,120,130,209,53,80,41
"197",40011,NA,NA,128,179,NA,69,121,30
"198",40014,80,NA,101,131,206,64,91,36
"199",40015,NA,NA,102,137,NA,63,79,20
