"","Provider.ID","HAI_1_SIR","HAI_2_SIR","HAI_3_SIR","HAI_4_SIR","HAI_5_SIR","HAI_6_SIR","COMP_HIP_KNEE_Score","PSI_90_SAFETY_Score"
"1",10001,"1.74","1.427","1.87","0","0.422","0.787","3.8","0.68"
"2",10005,"1.062","0.456","0.386",NA,"1.388","0.405","3.0","0.85"
"3",10006,"0.341","0.641","0.31",NA,"1.261","0.513","3.8","0.91"
"4",10007,NA,"0",NA,NA,NA,"0",NA,"0.79"
"5",10008,NA,NA,NA,NA,NA,"0.585",NA,"0.90"
"6",10011,"0.557","0.395","1.428","0","0.885","0.7","3.7","0.99"
"7",10012,NA,"0",NA,NA,NA,"0.225","2.8","0.90"
"8",10016,"0.364","0.351","0.723",NA,"1.58","0.758","2.8","0.80"
"9",10018,NA,NA,NA,NA,NA,NA,NA,"0.88"
"10",10019,"0.697","0.089","0.423",NA,"1.788","0.371","1.8","0.98"
"11",10021,NA,"0",NA,NA,NA,"0.242","3.9","1.01"
"12",10022,NA,NA,NA,NA,NA,"0",NA,"0.85"
"13",10023,"1.126","0.811","1.243","0.926","2.343","0.912","2.1","0.59"
"14",10024,"1.749","0.705","0.612","2.334","3.474","0.949","2.1","0.77"
"15",10029,"0.764","0.333","0.37","1.767","0.993","0.633","3.4","0.62"
"16",10032,NA,NA,NA,NA,NA,NA,NA,"0.88"
"17",10033,"0.857","0.308","0.997","0.768","1.262","0.817","3.4","0.81"
"18",10034,NA,"0.659",NA,NA,NA,"0.869",NA,"1.01"
"19",10035,"0.175","0.49","0.613",NA,"1.933","0.203","2.5","0.64"
"20",10036,NA,"0",NA,NA,NA,"0.279","2.6","1.02"
"21",10038,NA,"0.868",NA,NA,NA,"0.616","3.0","0.87"
"22",10039,"1.108","0.571","1.464","0.563","0.578","0.589","2.1","0.74"
"23",10040,"0.29","0.148","0","0","0.55","0.438","4.0","0.98"
"24",10044,NA,NA,NA,NA,NA,"0",NA,"0.89"
"25",10045,NA,"1.146",NA,NA,NA,"1.677",NA,"0.89"
"26",10046,"0","1.231","0.541",NA,"0.573","0.645","3.6","0.72"
"27",10047,NA,NA,NA,NA,NA,NA,NA,"0.90"
"28",10049,NA,"0",NA,"0.936",NA,"0.49","2.4","0.77"
"29",10051,NA,NA,NA,NA,NA,NA,NA,"0.90"
"30",10052,NA,NA,NA,NA,NA,NA,NA,"0.90"
"31",10055,"0.44","0.706","1.459","0.831","0.428","0.807","3.4","0.80"
"32",10056,"0.373","0.24","0.446","0.867","1.5","0.885","2.8","1.05"
"33",10058,NA,NA,NA,NA,NA,"0",NA,"0.90"
"34",10059,NA,"0",NA,NA,NA,"1.381",NA,"0.90"
"35",10061,"0.695","0.91",NA,NA,NA,"0.285","3.0","0.84"
"36",10062,NA,NA,NA,NA,NA,"0",NA,"0.89"
"37",10065,"0","0",NA,NA,NA,"0.416","3.3","1.14"
"38",10069,NA,"0.568",NA,NA,NA,"0",NA,"0.81"
"39",10073,NA,"0.899",NA,NA,NA,"0",NA,"0.82"
"40",10078,"0.324","0.66","0",NA,"0.787","0.635","4.6","1.14"
"41",10079,"1.404","0.697","0",NA,NA,"0.866","2.9","0.87"
"42",10083,"0","0.182","1.185",NA,"0.716","0.411","2.5","1.00"
"43",10085,"0.372","0.39","1.546","0","0.373","0.296","3.1","1.15"
"44",10086,NA,"1.257",NA,NA,NA,"0.249",NA,"0.78"
"45",10087,"1.292","0.634","2.379",NA,"3.182","0.561",NA,"0.87"
"46",10089,"0.603","0.234","0",NA,"0.91","0.938","2.4","0.75"
"47",10090,"0.534","0.25","0.862","0","1.048","0.856","3.3","1.11"
"48",10091,NA,NA,NA,NA,NA,"0.635",NA,"0.88"
"49",10092,"0.855","0.423","0.836","0.525","0.465","0.666","3.4","0.90"
"50",10095,NA,NA,NA,NA,NA,NA,NA,"0.89"
"51",10097,NA,NA,NA,NA,NA,"0",NA,"0.85"
"52",10099,NA,"1.11",NA,NA,NA,"0.799",NA,"1.00"
"53",10100,"0.444","0.621","1.266",NA,"1.327","0.272","3.4","0.83"
"54",10101,NA,"0",NA,NA,NA,"0",NA,"0.90"
"55",10102,NA,NA,NA,NA,NA,NA,NA,"0.90"
"56",10103,"1.297","0.683","0.173",NA,"4.361","0.917","2.6","0.81"
"57",10104,"0.466","0.534","0",NA,"1.7","0.191","4.3","1.16"
"58",10108,"0","0","0",NA,NA,"0.977",NA,"0.87"
"59",10109,NA,NA,NA,NA,NA,NA,NA,"0.87"
"60",10110,NA,NA,NA,NA,NA,"0",NA,"0.86"
