"","Provider.ID","ED_1b_Score","ED_2b_Score","OP_18b_Score","OP_20_Score","OP_21_Score","OP_3b_Score","OP_5_Score"
"1",10001,"269","68","196","65","99","Not Available","Not Available"
"2",10005,"243","71","117","27","60","Not Available","12"
"3",10006,"217","78","133","10","58","Not Available","Not Available"
"4",10007,"219","68","119","38","90","Not Available","7"
"5",10008,"180","56","98","27","49","Not Available","Not Available"
"6",10011,"286","71","156","54","74","Not Available","Not Available"
"7",10012,"189","52","120","34","59","Not Available","0"
"8",10016,"310","93","203","30","73","Not Available","Not Available"
"9",10018,"188","Not Available","110","20","Not Available","Not Available","Not Available"
"10",10019,"188","61","115","23","62","42","3"
"11",10021,"173","54","96","20","44","Not Available","6"
"12",10022,"263","90","103","19","47","Not Available","10"
"13",10023,"433","238","162","37","64","Not Available","Not Available"
"14",10024,"283","120","141","50","87","Not Available","Not Available"
"15",10029,"230","60","141","42","76","Not Available","8"
"16",10032,"240","75","130","27","51","Not Available","6"
"17",10033,"460","126","208","36","80","Not Available","Not Available"
"18",10034,"262","65","116","30","95","Not Available","34"
"19",10035,"241","101","126","25","44","Not Available","7"
"20",10036,"175","45","89","4","17","Not Available","0"
"21",10038,"179","63","87","16","56","Not Available","Not Available"
"22",10039,"331","108","178","64","64","Not Available","Not Available"
"23",10040,"395","124","218","45","104","Not Available","Not Available"
"24",10044,"199","35","100","27","58","Not Available","8"
"25",10045,"222","79","107","10","44","Not Available","4"
"26",10046,"286","103","167","24","73","Not Available","Not Available"
"27",10047,"130","30","100","41","Not Available","Not Available","Not Available"
"28",10049,"238","65","142","23","68","Not Available","6"
"29",10051,"168","14","164","58","Not Available","Not Available","Not Available"
"30",10052,"234","75","110","31","Not Available","Not Available","27"
"31",10055,"215","71","142","25","60","Not Available","Not Available"
"32",10056,"329","128","200","38","85","Not Available","Not Available"
"33",10058,"225","71","133","24","75","Not Available","Not Available"
"34",10059,"201","45","69","19","51","Not Available","6"
"35",10061,"279","82","180","36","79","84","16"
"36",10062,"173","54","98","31","64","Not Available","Not Available"
"37",10065,"261","87","126","19","64","Not Available","0"
"38",10069,"178","45","135","9","43","Not Available","12"
"39",10073,"207","60","106","34","68","Not Available","5"
"40",10078,"263","64","181","45","76","Not Available","8"
"41",10079,"233","65","131","29","72","Not Available","7"
"42",10083,"258","80","149","30","50","Not Available","Not Available"
"43",10085,"282","96","138","36","68","34","5"
"44",10086,"196","48","92","10","38","Not Available","5"
"45",10087,"504","300","311","70","86","Not Available","Not Available"
"46",10089,"255","77","128","20","54","Not Available","0"
"47",10090,"267","103","181","28","78","Not Available","Not Available"
"48",10091,"192","64","130","33","49","Not Available","10"
"49",10092,"329","107","161","45","24","Not Available","Not Available"
"50",10095,"220","35","122","35","86","Not Available","33"
"51",10097,"190","60","80","20","43","Not Available","13"
"52",10099,"208","80","122","32","76","Not Available","6"
"53",10100,"320","89","201","36","69","Not Available","Not Available"
"54",10101,"206","57","115","26","58","Not Available","6"
"55",10102,"156","Not Available","95","30","40","Not Available","Not Available"
"56",10103,"317","118","185","36","78","Not Available","Not Available"
"57",10104,"217","61","140","19","52","Not Available","Not Available"
"58",10108,"373","130","162","43","74","64","9"
"59",10109,"253","106","110","19","79","Not Available","Not Available"
"60",10110,"177","69","93","32","Not Available","Not Available","Not Available"
"61",10112,"186","40","112","41","62","Not Available","34"
"62",10113,"382","129","213","14","98","Not Available","Not Available"
"63",10114,"244","78","128","22","54","68","10"
"64",10118,"254","77","136","20","36","Not Available","3"
"65",10120,"237","56","120","30","45","Not Available","8"
"66",10125,"168","45","65","5","22","Not Available","0"
"67",10126,"205","70","115","36","34","Not Available","7"
"68",10128,"217","60","124","50","66","Not Available","10"
"69",10129,"280","62","162","48","51","Not Available","7"
"70",10130,"228","31","107","31","52","Not Available","4"
"71",10131,"292","100","153","30","90","Not Available","Not Available"
"72",10138,"195","62","105","29","Not Available","Not Available","Not Available"
"73",10139,"276","84","194","31","79","Not Available","Not Available"
"74",10144,"244","108","125","34","50","Not Available","Not Available"
"75",10146,"250","60","133","55","74","Not Available","9"
"76",10148,"217","70","134","51","77","Not Available","13"
"77",10149,"434","209","190","50","83","Not Available","8"
"78",10150,"212","56","105","24","63","Not Available","1"
"79",10157,"242","141","133","22","60","Not Available","8"
"80",10158,"186","56","82","9","25","Not Available","4"
"81",10164,"265","81","122","30","52","Not Available","7"
"82",10168,"260","80","102","38","57","Not Available","Not Available"
"83",10169,"212","41","138","46","69","Not Available","9"
"84",11300,"177","52","87","19","45","Not Available","8"
"85",11302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"86",11304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"87",11305,"241","60","137","42","44","Not Available","5"
"88",13300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"89",13301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"90",20001,"380","250","157","35","56","Not Available","Not Available"
"91",20006,"260","95","144","16","56","Not Available","5"
"92",20008,"290","68","146","26","38","Not Available","6"
"93",20012,"285","143","111","Not Available","52","Not Available","Not Available"
"94",20017,"238","88","103","10","44","Not Available","Not Available"
"95",20018,"314","71","Not Available","Not Available","Not Available","Not Available","Not Available"
"96",20024,"345","106","177","38","70","Not Available","9"
"97",20026,"390","178","Not Available","Not Available","Not Available","Not Available","Not Available"
"98",21301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"99",21302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"100",21303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"101",21304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"102",21305,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"103",21306,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"104",21307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"105",21308,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"106",21309,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"107",21310,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"108",21311,"292","165","150","16","50","Not Available","Not Available"
"109",21312,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"110",21313,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"111",30001,"288","150","140","23","40","68","2"
"112",30002,"303","106","203","32","61","Not Available","Not Available"
"113",30006,"330","95","186","53","57","Not Available","Not Available"
"114",30007,"313","103","165","32","61","Not Available","20"
"115",30010,"439","213","212","23","79","Not Available","Not Available"
"116",30011,"458","203","241","41","114","Not Available","Not Available"
"117",30012,"242","104","163","22","68","Not Available","Not Available"
"118",30013,"360","87","278","20","101","Not Available","Not Available"
"119",30014,"238","74","182","38","51","Not Available","Not Available"
"120",30016,"263","71","199","36","52","Not Available","18"
"121",30022,"293","139","208","27","32","Not Available","Not Available"
"122",30023,"324","131","192","55","25","Not Available","Not Available"
"123",30024,"483","276","176","14","24","Not Available","8"
"124",30030,"285","167","157","28","52","Not Available","Not Available"
"125",30033,"264","70","160","18","65","Not Available","8"
"126",30036,"305","151","128","20","33","Not Available","11"
"127",30037,"340","126","172","44","59","Not Available","25"
"128",30038,"204","86","162","18","36","Not Available","Not Available"
"129",30043,"336","123","174","49","104","Not Available","8"
"130",30055,"265","92","150","25","54","Not Available","Not Available"
"131",30061,"285","76","222","27","58","Not Available","Not Available"
"132",30062,"277","91","175","22","68","Not Available","4"
"133",30064,"430","207","291","25","53","Not Available","Not Available"
"134",30065,"294","103","196","22","35","Not Available","Not Available"
"135",30068,"238","78","111","8","42","Not Available","14"
"136",30069,"229","65","142","12","21","Not Available","Not Available"
"137",30071,"293","70","Not Available","Not Available","Not Available","Not Available","Not Available"
"138",30073,"284","85","Not Available","Not Available","Not Available","Not Available","Not Available"
"139",30074,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"140",30077,"316","35","Not Available","Not Available","Not Available","Not Available","Not Available"
"141",30078,"374","96","Not Available","Not Available","Not Available","Not Available","Not Available"
"142",30083,"230","121","137","23","42","Not Available","Not Available"
"143",30084,"325","91","Not Available","Not Available","Not Available","Not Available","Not Available"
