"","avg_correlation","factor_loading","weight"
"CAC_3_Score",0.1,0.14,0.031
"IMM_2_Score",0.14,0.45,0.124
"IMM_3_OP_27_FAC_ADHPCT_Score",0.07,0.04,0.009
"OP_22_Score",0.03,-0.18,-0.042
"OP_23_Score",0.07,-0.06,-0.012
"OP_29_Score",0.1,0.11,0.024
"OP_30_Score",0.09,0.08,0.018
"OP_4_Score",0.07,0.15,0.034
"PC_01_Score",0.04,-0.12,-0.027
"STK_4_Score",0.12,0.35,0.087
"STK_5_Score",0.14,0.36,0.092
"STK_6_Score",0.13,0.42,0.11
"STK_8_Score",0.14,0.46,0.128
"VTE_1_Score",0.15,0.51,0.149
"VTE_2_Score",0.13,0.47,0.131
"VTE_3_Score",0.13,0.35,0.088
"VTE_5_Score",0.13,0.43,0.115
"VTE_6_Score",0.01,-0.26,-0.061
"H_CLEAN_LINEAR_SCORE_mean",0.64,0.73,0.04
"H_COMP_1_LINEAR_SCORE_mean",0.78,0.93,0.193
"H_COMP_2_LINEAR_SCORE_mean",0.69,0.79,0.056
"H_COMP_3_LINEAR_SCORE_mean",0.75,0.88,0.099
"H_COMP_4_LINEAR_SCORE_mean",0.74,0.87,0.098
"H_COMP_5_LINEAR_SCORE_mean",0.73,0.85,0.078
"H_COMP_6_LINEAR_SCORE_mean",0.62,0.7,0.036
"H_COMP_7_LINEAR_SCORE_mean",0.76,0.9,0.125
"H_HSP_RATING_LINEAR_SCORE_mean",0.78,0.92,0.162
"H_QUIET_LINEAR_SCORE_mean",0.59,0.65,0.03
"H_RECMND_LINEAR_SCORE_mean",0.72,0.85,0.083
"MORT_30_AMI_score",0.24,0.62,0.432
"MORT_30_CABG_score",0.2,0.41,0.211
"MORT_30_COPD_score",0.08,-0.17,-0.076
"MORT_30_HF_score",0.06,-0.26,-0.12
"MORT_30_PN_score",0.22,0.5,0.285
"MORT_30_STK_score",0.2,0.35,0.171
"PSI_4_SURG_COMP_Score",0.18,0.22,0.098
"OP_10",0.3,0.71,0.559
"OP_11",0.29,0.64,0.429
"OP_13",0.19,-0.04,-0.015
"OP_14",0.22,-0.04,-0.016
"OP_8",0.25,0.11,0.043
"READM_30_AMI_score",0.41,0.55,0.09
"READM_30_CABG_score",0.3,0.34,0.044
"READM_30_COPD_score",0.36,0.55,0.088
"READM_30_HF_score",0.42,0.66,0.131
"READM_30_HIP_KNEE_score",0.27,0.33,0.041
"READM_30_HOSP_WIDE_score",0.5,0.88,0.439
"READM_30_PN_score",0.41,0.66,0.13
"READM_30_STK_score",0.27,0.3,0.038
"ED_1b_Score",0.18,0.84,0.931
"ED_2b_Score",0.05,-0.45,-0.186
"OP_18b_Score",0.15,0.1,0.031
"OP_20_Score",0.17,0.28,0.099
"OP_21_Score",0.18,0.34,0.125
"OP_3b_Score",0.17,0.14,0.045
"OP_5_Score",0.1,-0.14,-0.046
"HAI_1_SIR",0.21,0.41,0.176
"HAI_2_SIR",0.25,0.62,0.352
"HAI_3_SIR",0.21,0.36,0.148
"HAI_4_SIR",0.19,0.28,0.109
"HAI_5_SIR",0.18,0.22,0.082
"HAI_6_SIR",0.17,0.14,0.051
"COMP_HIP_KNEE_Score",0.14,0.02,0.005
"PSI_90_SAFETY_Score",0.2,0.21,0.077
