"","avg_correlation","factor_loading","weight"
"CAC_3_Score",0.1,0.14,0.031
"IMM_2_Score",0.14,0.45,0.124
"IMM_3_OP_27_FAC_ADHPCT_Score",0.07,0.04,0.009
"OP_22_Score",0.03,-0.18,-0.042
"OP_23_Score",0.07,-0.06,-0.012
"OP_29_Score",0.1,0.11,0.024
"OP_30_Score",0.09,0.08,0.018
"OP_4_Score",0.07,0.15,0.034
"PC_01_Score",0.04,-0.12,-0.027
"STK_4_Score",0.12,0.35,0.087
"STK_5_Score",0.14,0.36,0.092
"STK_6_Score",0.13,0.42,0.11
"STK_8_Score",0.14,0.46,0.128
"VTE_1_Score",0.15,0.51,0.149
"VTE_2_Score",0.13,0.47,0.131
"VTE_3_Score",0.13,0.35,0.088
"VTE_5_Score",0.13,0.43,0.115
"VTE_6_Score",0.01,-0.26,-0.061
