"","avg_correlation","factor_loading","weight"
"H_CLEAN_LINEAR_SCORE_mean",0.64,0.73,0.04
"H_COMP_1_LINEAR_SCORE_mean",0.78,0.93,0.193
"H_COMP_2_LINEAR_SCORE_mean",0.69,0.79,0.056
"H_COMP_3_LINEAR_SCORE_mean",0.75,0.88,0.099
"H_COMP_4_LINEAR_SCORE_mean",0.74,0.87,0.098
"H_COMP_5_LINEAR_SCORE_mean",0.73,0.85,0.078
"H_COMP_6_LINEAR_SCORE_mean",0.62,0.7,0.036
"H_COMP_7_LINEAR_SCORE_mean",0.76,0.9,0.125
"H_HSP_RATING_LINEAR_SCORE_mean",0.78,0.92,0.162
"H_QUIET_LINEAR_SCORE_mean",0.59,0.65,0.03
"H_RECMND_LINEAR_SCORE_mean",0.72,0.85,0.083
